Name,Alternate_Subject__c,BCC_Addresses__c,CC_Addresses__c,From_Address__c,Merge_Field_Map__c,Reply_To__c,Send_as_Org_Wide_Email__c,Sender_Display_Name__c,To_Address__c
COVID Positive Pathway Survey Link,COVID Positive Pathway Survey Link,,,covid-19.health@dhhs.vic.gov.au,"{""{{{Sender.Name}}}"":""{!Get_Sender_Details.Name}""}",covid-19.health@dhhs.vic.gov.au,TRUE,Victoria Department of Health and Human Services,<enter the clinician email address>
Disability outbreak facility clearance,{!str_CleanLocationName} {!Get_Case_Details.PHESS_ID__c} COVID-19 Disability Outbreak Facility Clearance,,,covid-19.health@dhhs.vic.gov.au,"{""{{{Sender.Name}}}"":""{!Get_Sender_Details.Name}"",""{{{Case.Accounts.name}}}"":""{!Get_Account_Details.Name}"",""{{{Case.Accounts.Street}}}"":""{!Get_Account_Details.ShippingStreet}"",""{{{Case.Accounts.Suburb}}}"":""{!Get_Account_Details.ShippingCity}"",""{{{Case.Accounts.State}}}"":""{!Get_Account_Details.ShippingState}"",""{{{Case.Accounts.PostalCode}}}"":""{!Get_Account_Details.ShippingPostalCode}"",""{{{Sender.Team__c}}}"":""{!Get_Sender_Details.Team__c}"",""{{{Case.Account}}}"":""{!Get_Contact_Details.Name}"",""{{{Case.CaseNumber}}}"":""{!Get_Case_Details.CaseNumber}"",""{{{case.PHESS_ID__c}}}"":""{!Get_Case_Details.PHESS_ID__c}"",""{{{Case.contacts.FirstName}}}"":""{!Get_Contact_Details.FirstName}"",""{{{Case.contacts.LastName}}}"":""{!Get_Contact_Details.LastName}"",""{{{Case.LocationAddress__c}}}"":""{!str_CleanLocationName}""}",covid-19.health@dhhs.vic.gov.au,TRUE,Victoria Department of Health and Human Services,
Internal: Aged Care Close Contact Registration Request,Coronavirus disease (COVID-19) Request contacts to be uploaded to PHESS - Victorian Health Department Alert - {!Get_Case_Details.PHESS_ID__c} - {!Get_Case_Details.Subject} [Outbreak ID],Teamone.CCOM@dhhs.vic.gov.au,,,"{""{{{Sender.Name}}}"":""{!Get_Sender_Details.Name}"",""{{{Sender.Team__c}}}"":""{!Get_Sender_Details.Team__c}"",""{{{Case.Account}}}"":""{!Get_Contact_Details.Name}"",""{{{Case.CaseNumber}}}"":""{!Get_Case_Details.CaseNumber}"",""{{{Case.Subject}}}"":""{!Get_Case_Details.Subject}"",""{{{case.PHESS_ID__c}}}"":""{!Get_Case_Details.PHESS_ID__c}"",""{{{Case.contacts.FirstName}}}"":""{!Get_Contact_Details.FirstName}"",""{{{Case.contacts.LastName}}}"":""{!Get_Contact_Details.LastName}"",""{{{Case.LocationAddress__c}}}"":""{!str_CleanLocationName}""}",,FALSE,,Intelligence.Informatics@dhhs.vic.gov.au
Workplace Notification for Secondary Close Contacts,Coronavirus (COVID-19) case at workplace - Victorian Department of Health and Human Services Alert,,,covid-19.health@dhhs.vic.gov.au,"{""{{{Sender.Name}}}"":""{!Get_Sender_Details.Name}"",""{{{Case.Account}}}"":""{!Get_Contact_Details.Name}"",""{{{Case.Todays_Date__c}}}"":""{!Get_Case_Details.Todays_Date__c}"",""{{{Case.CaseNumber}}}"":""{!Get_Case_Details.CaseNumber}"",""{{{Case.LocationAddress__c}}}"":""{!str_CleanLocationName}"",""{{{Case.Day_0_Exposure_to_the_confirmed_case__c}}}"":""{!Get_Case_Details.Day_0_Exposure_to_the_confirmed_case__c}""}",covid-19.health@dhhs.vic.gov.au,TRUE,Victoria Department of Health and Human Services,
Corrections Victoria Staff Close Contacts,Coronavirus (COVID-19) staff close contact at corrections facility - Victorian Department of Health and Human Services Alert,,,covid-19.health@dhhs.vic.gov.au,"{""{{{Sender.Name}}}"":""{!Get_Sender_Details.Name}"",""{{{case.CaseNumber}}}"":""{!Get_Case_Details.CaseNumber}"",""{{{Case.Todays_Date__c}}}"":""{!Get_Case_Details.Todays_Date__c}""}",covid-19.health@dhhs.vic.gov.au,TRUE,Victoria Department of Health and Human Services,
Corrections Victoria Staff Confirmed Case,Coronavirus (COVID-19) staff confirmed case at corrections facility - Victorian Department of Health and Human Services Alert,,,covid-19.health@dhhs.vic.gov.au,"{""{{{Sender.Name}}}"":""{!Get_Sender_Details.Name}"",""{{{case.CaseNumber}}}"":""{!Get_Case_Details.CaseNumber}"",""{{{Case.Todays_Date__c}}}"":""{!Get_Case_Details.Todays_Date__c}""}",covid-19.health@dhhs.vic.gov.au,TRUE,Victoria Department of Health and Human Services,
Approved Provider Re-Open Letter,Coronavirus (COVID-19) - {!str_CleanLocationName} - {!Get_Account_Details.ShippingStreet} {!Get_Account_Details.ShippingCity},,,covid-19.health@dhhs.vic.gov.au,"{""{{{case.PHESS_ID__c}}}"":""{!Get_Case_Details.PHESS_ID__c}"",
""{{{Case.contacts.Email}}}"":""{!Get_Contact_Details.Email}"",
""{{{Case.Accounts.name}}}"":""{!Get_Account_Details.Name}"",""{{{Case.LocationAddress__c}}}"":""{!str_CleanLocationName}"",""{{{Sender.Name}}}"":""{!Get_Sender_Details.Name}"",""{{{Case.Todays_Date__c}}}"":""{!Get_Case_Details.Todays_Date__c}"",""{{{Case.Accounts.Street}}}"":""{!Get_Account_Details.ShippingStreet}"",""{{{Case.Accounts.Suburb}}}"":""{!Get_Account_Details.ShippingCity}""}",covid-19.health@dhhs.vic.gov.au,TRUE,Victoria Department of Health and Human Services,
Corrections Victoria Letter testing - Acquisition,Re: COVID-19 investigation - testing requirements,,,covid-19.health@dhhs.vic.gov.au,"{""{{{Sender.Name}}}"":""{!Get_Sender_Details.Name}"",""{{{Case.contacts.FirstName}}}"":""{!Get_Contact_Details.FirstName}"",""{{{Case.contacts.LastName}}}"":""{!Get_Contact_Details.LastName}"",""{{{Case.Todays_Date__c}}}"":""{!Get_Case_Details.Todays_Date__c}""}",covid-19.health@dhhs.vic.gov.au,TRUE,Victoria Department of Health and Human Services,
Transition to Enhanced Surveillance - Aged Care Facility,Actions following stand-down to active surveillance of the outbreak of coronavirus (COVID-19) at {!str_CleanLocationName},,,covid-19.health@dhhs.vic.gov.au,"{""{{{Sender.Name}}}"":""{!Get_Sender_Details.Name}"",""{{{Case.LocationAddress__c}}}"":""{!str_CleanLocationName}"",""{{{Case.Todays_Date__c}}}"":""{!TodaysDate}""}",covid-19.health@dhhs.vic.gov.au,TRUE,Victoria Department of Health and Human Services,
School Closure Communication,Coronavirus disease (COVID-19) Case at {!str_CleanLocationName} - Victorian Health Department Alert - {!Get_Case_Details.PHESS_ID__c},,,covid-19.health@dhhs.vic.gov.au,"{""{{{Sender.Name}}}"":""{!Get_Sender_Details.Name}"",""{{{Sender.Team__c}}}"":""{!Get_Sender_Details.Team__c}"",""{{{Case.contacts.FirstName}}}"":""{!Get_Contact_Details.FirstName}"",""{{{Case.contacts.LastName}}}"":""{!Get_Contact_Details.LastName}"",""{{{Case.Account}}}"":""{!Get_Contact_Details.Name}"",""{{{Case.CaseNumber}}}"":""{!Get_Case_Details.CaseNumber}"",""{{{Case.Subject}}}"":""{!Get_Case_Details.Subject}"",""{{{Case.LocationAddress__c}}}"":""{!str_CleanLocationName}""}",covid-19.health@dhhs.vic.gov.au,TRUE,Victoria Department of Health and Human Services,
